Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,country
225 Edgware Road Westminster Borough London W2 1JU United Kingdom,8/3/2017,7.5,Hilton London Metropole, Hong Kong ,29,6977,0,8,6.3,"[' Leisure trip ', ' Family with young children ', ' Twin Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.5195688,-0.170521,United Kingdom
225 High Street Kensington Kensington and Chelsea London W8 6SA United Kingdom,8/2/2017,7.4,Best Western Seraphine Kensington Olympia, United Kingdom ,10,895,32,1,8.3,"[' Leisure trip ', ' Group ', ' Executive Double Room ', ' Stayed 2 nights ']",1 days,51.4992791,-0.1973593,United Kingdom
225 Ladbroke Grove Kensington and Chelsea London W10 6HQ United Kingdom,8/2/2017,8.4,Portobello House, United Kingdom ,18,344,11,3,7.5,"[' Solo traveler ', ' Club King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,51.5199224,-0.2116636,United Kingdom
228 Rue De Rivoli 1st arr 75001 Paris France,6/10/2017,9.3,Le Meurice, Spain ,0,166,31,34,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",54 days,48.8653685,2.328218,France
23 25 rue de Pont Neuf 1st arr 75001 Paris France,8/1/2017,8.9,Maison Albar Hotel Paris C line, Hungary ,22,326,20,12,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Spa Access ', ' Stayed 4 nights ']",2 days,48.8606187,2.344401,France
23 Leinster Gardens Westminster Borough London W2 3AN United Kingdom,8/3/2017,7.0,Henry VIII, United Kingdom ,47,2937,17,1,7.1,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5124655,-0.182274,United Kingdom
23 Mecklenburgh Square Camden London WC1N 2AD United Kingdom,8/2/2017,8.5,Goodenough Club, United Kingdom ,9,959,30,4,7.1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ']",1 days,51.525535,-0.1180354,United Kingdom
23 rue du Faubourg Montmartre 9th arr 75009 Paris France,7/26/2017,8.4,Hotel Pulitzer Paris, Germany ,0,1521,91,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",8 days,48.8731996,2.3425446,France
23 Rue Vignon 8th arr 75008 Paris France,7/30/2017,8.8,Hotel Vignon, United Kingdom ,51,617,14,17,7.1,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",4 days,48.8717146,2.3261812,France
230 A Mile End Road Tower Hamlets London E1 4LJ United Kingdom,8/2/2017,7.4,London Suites, United Kingdom ,15,259,13,1,6.5,"[' Leisure trip ', ' Couple ', ' Studio ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.5215508,-0.0469238,United Kingdom
232 Boulevard Raspail 14th arr 75014 Paris France,7/29/2017,8.9,H tel Aiglon Esprit de France, China ,24,1152,43,10,8.8,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",5 days,48.8396623,2.3300582,France
234 Diputacio Eixample 08007 Barcelona Spain,7/2/2017,7.8,Sansi Diputacio, United States of America ,60,338,27,1,6.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",32 days,41.3882234,2.1644551,Spain
239 Vauxhall Bridge Road Westminster Borough London SW1V 1EQ United Kingdom,8/2/2017,8.6,Park Plaza Victoria London, Canada ,40,4426,36,11,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",1 days,51.4942539,-0.1414756,United Kingdom
24 27 Bedford Place Bloomsbury Camden London WC1B 5JH United Kingdom,8/2/2017,8.6,Grange Beauchamp Hotel, United Kingdom ,8,761,49,2,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ']",1 days,51.5203266,-0.1245891,United Kingdom
24 Egerton Gardens Kensington and Chelsea London SW3 2DB United Kingdom,7/24/2017,8.8,The Franklin Hotel Starhotels Collezione, United States of America ,141,70,53,2,6.3,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 4 nights ']",10 days,51.4960283,-0.1686355,United Kingdom
24 Ludgate Hill City of London London EC4M 7DR United Kingdom,8/3/2017,8.4,Club Quarters Hotel St Paul s, United Kingdom ,0,4117,32,15,9.6,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5139298,-0.101126,United Kingdom
24 rue Bassano 16th arr 75016 Paris France,6/30/2017,7.9,Hotel Elys es Bassano, United Kingdom ,34,652,46,1,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",34 days,48.8689307,2.2974503,France
24 rue Cadet 9th arr 75009 Paris France,7/5/2017,8.5,Hotel Opera Cadet, Canada ,0,349,36,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",29 days,48.8754371,2.3434586,France
24 Rue d Amsterdam 9th arr 75009 Paris France,7/17/2017,8.7,Phileas Hotel, Czech Republic ,24,1000,10,95,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double Room with Queen size bed ', ' Stayed 1 night ']",17 days,48.8768854,2.3270623,France
24 Rue De Miromesnil 8th arr 75008 Paris France,6/23/2017,8.0,Holiday Inn Paris Elys es, France ,0,421,67,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 1 night ']",41 days,48.8730437,2.3161144,France
24 rue de Ponthieu 8th arr 75008 Paris France,7/19/2017,8.1,H tel Beauchamps, United States of America ,5,1463,85,4,3.8,"[' Business trip ', ' Family with young children ', ' Classic Room ', ' Stayed 3 nights ']",15 days,48.87096,2.3091617,France
25 avenue du General Leclerc 14th arr 75014 Paris France,7/26/2017,8.1,Best Western Nouvel Orl ans Montparnasse, Jordan ,30,988,6,1,3.8,"[' Leisure trip ', ' Family with young children ', ' Double Room Free Wi Fi ', ' Stayed 2 nights ']",8 days,48.8309896,2.3297301,France
25 Avenue Montaigne 8th arr 75008 Paris France,6/10/2017,9.3,Hotel Plaza Athenee Paris, Spain ,0,160,31,34,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ']",54 days,48.8661932,2.3042141,France
25 Boulevard Auguste Blanqui 13th arr 75013 Paris France,4/6/2017,7.9,Mercure Paris Place d Italie, United Kingdom ,0,192,28,15,7.5,"[' Business trip ', ' Group ', ' Standard Double Room ', ' Stayed 2 nights ']",119 day,48.830196,2.3529539,France
25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,8/3/2017,9.0,The Nadler Kensington, United States of America ,4,1209,26,2,10.0,"[' Leisure trip ', ' Couple ', ' Superior King or Twin Room ', ' Stayed 3 nights ']",0 days,51.4931086,-0.190208,United Kingdom
25 rue des Saints P res 6th arr 75006 Paris France,7/31/2017,9.1,H tel Da Vinci Spa, United States of America ,45,352,68,1,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room with Spa access ', ' Stayed 2 nights ']",3 days,48.8565778,2.3319767,France
25 Rue Theodore de Banville 17th arr 75017 Paris France,6/24/2017,8.9,XO Hotel, South Korea ,67,49,4,11,3.8,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",40 days,48.8827492,2.2982782,France
25 Rue Vernet 8th arr 75008 Paris France,7/25/2017,8.6,H tel Vernet, Belgium ,14,473,18,8,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",9 days,48.871859,2.2978177,France
251 rue Saint Honor 1st arr 75001 Paris France,5/23/2017,9.1,Mandarin Oriental Paris, United Kingdom ,7,81,23,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",72 days,48.8671889,2.326927,France
252 High Holborn Holborn Camden London WC1V 7EN United Kingdom,7/11/2017,9.4,Rosewood London, United Kingdom ,3,1008,75,8,10.0,"[' Business trip ', ' Solo traveler ', ' Executive King Room ', ' Stayed 1 night ']",23 days,51.5173303,-0.1180966,United Kingdom
257 Rue De Vaugirard 15th arr 75015 Paris France,7/26/2017,7.6,Novotel Paris Vaugirard Montparnasse, United Kingdom ,81,1313,8,3,6.3,"[' Leisure trip ', ' Family with young children ', ' Executive Family Room 2 Adults and 2 Children ', ' Stayed 1 night ', ' Submitted from a mobile device ']",8 days,48.8399018,2.3031011,France
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,5/29/2017,7.5,Mayflower Hotel Apartments, Bahrain ,12,2197,0,2,2.5,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 4 nights ']",66 days,51.4916677,-0.1947475,United Kingdom
26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,7/24/2017,8.2,Caesar Hotel, Brazil ,4,1164,49,8,9.6,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 4 nights ']",10 days,51.5134603,-0.1833081,United Kingdom
26 42 Bond Street Ealing London W5 5AA United Kingdom,7/20/2017,8.6,Hotel Xanadu, United Kingdom ,36,269,23,1,10.0,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",14 days,51.5117907,-0.306071,United Kingdom
26 Cadogan Gardens Kensington and Chelsea London SW3 2RP United Kingdom,7/18/2017,9.2,Draycott Hotel, Germany ,23,245,50,20,9.6,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 2 nights ']",16 days,51.4930097,-0.159715,United Kingdom
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,8/3/2017,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,5,3826,62,14,10.0,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",0 days,51.5043483,-0.0334436,United Kingdom
27 33 Harrington Gardens Kensington and Chelsea London SW7 4JX United Kingdom,7/21/2017,8.4,Bentley London, United States of America ,92,486,6,2,8.0,"[' Business trip ', ' Family with young children ', ' Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",13 days,51.4928147,-0.1841753,United Kingdom
27 avenue des Ternes 17th arr 75017 Paris France,6/30/2017,7.9,Mercure Paris Arc de Triomphe Etoile, Italy ,177,145,25,1,5.8,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",34 days,48.8782679,2.294852,France
27 Devonshire Terrace Westminster Borough London W2 3DP United Kingdom,8/3/2017,8.1,Park Grand Paddington Court, United States of America ,48,6608,0,4,6.7,"[' Leisure trip ', ' Solo traveler ', ' Compact Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5135555,-0.180002,United Kingdom
277 Carrer de Proven a Eixample 08037 Barcelona Spain,8/2/2017,9.4,The One Barcelona GL, United Kingdom ,63,332,3,1,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with City View ', ' Stayed 2 nights ']",1 days,41.3961448,2.1631674,Spain
28 30 Seymour Street Westminster Borough London W1H 7JB United Kingdom,7/17/2017,9.3,The Zetter Townhouse Marylebone, United States of America ,7,180,40,9,10.0,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",17 days,51.514839,-0.1586656,United Kingdom
28 av Corentin Cariou 19th arr 75019 Paris France,8/2/2017,7.6,Forest Hill Paris la Villette, Germany ,19,2740,30,30,7.1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']",1 days,48.8969854,2.3852745,France
28 Basil Street Kensington and Chelsea London SW3 1AS United Kingdom,7/9/2017,9.1,The Levin Hotel, Switzerland ,24,154,30,4,10.0,"[' Business trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 1 night ']",25 days,51.4998574,-0.161717,United Kingdom
28 Ebury Street Westminster Borough London SW1W 0LU United Kingdom,7/20/2017,6.6,The Tophams Hotel, United Kingdom ,40,411,2,2,3.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",14 days,51.4957436,-0.1477528,United Kingdom
28 place des Vosges 3rd arr 75003 Paris France,8/1/2017,9.2,Le Pavillon de la Reine Spa, United Kingdom ,42,376,57,39,9.2,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",2 days,48.8562725,2.3660412,France
28 Rue de l Arc de Triomphe 17th arr 75017 Paris France,7/9/2017,9.1,Hidden Hotel by Elegancia, United Kingdom ,0,303,60,3,10.0,"[' Business trip ', ' Solo traveler ', ' Intuition Room ', ' Stayed 1 night ']",25 days,48.8775326,2.293458,France
28 rue Saint Roch 1st arr 75001 Paris France,7/30/2017,9.0,Le Roch Hotel Spa, Israel ,36,118,26,87,7.9,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",4 days,48.8661991,2.3328826,France
284 To 302 Waterloo Road Southwark London SE1 8RQ United Kingdom,8/2/2017,8.5,H10 London Waterloo, United Kingdom ,48,1114,12,1,7.1,"[' Leisure trip ', ' Couple ', ' Double Room with City View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1 days,51.4988817,-0.1062888,United Kingdom
29 31 Draycott Place Kensington and Chelsea London SW3 2SH United Kingdom,8/1/2017,9.0,San Domenico House, United Kingdom ,46,317,29,5,7.1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ']",2 days,51.4917798,-0.1616049,United Kingdom
29 31 Gower Street Camden London WC1E 6HG United Kingdom,8/2/2017,6.8,Bloomsbury Palace Hotel, United Kingdom ,29,2751,0,1,3.3,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1 days,51.5207945,-0.1310845,United Kingdom
29 31 rue de Poitou 3rd arr 75003 Paris France,7/26/2017,9.1,Hotel du Petit Moulin, Hong Kong ,0,206,64,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ']",8 days,48.8615843,2.3620652,France
29 31 rue des Ecoles 5th arr 75005 Paris France,7/21/2017,8.7,Hotel Atmospheres, United Kingdom ,10,654,20,3,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",13 days,48.8485387,2.3479852,France
29 Avenue De Tourville 7th arr 75007 Paris France,7/26/2017,9.0,H tel La Comtesse by Elegancia, United States of America ,45,363,102,1,8.3,"[' Business trip ', ' Solo traveler ', ' Double Room Marquise ', ' Stayed 7 nights ']",8 days,48.853865,2.3072019,France
29 rue Caumartin 9th arr 75009 Paris France,7/30/2017,8.4,Hotel Astra Opera Astotel, United Kingdom ,40,250,46,2,8.3,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 3 nights ']",4 days,48.8718321,2.3278866,France
29 Rue Jacob 6th arr 75006 Paris France,5/22/2017,9.1,Hotel La Villa Saint Germain Des Pr s, United Kingdom ,0,190,122,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Privilege Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",73 days,48.8553486,2.3340736,France
29 rue Victor Mass 9th arr 75009 Paris France,7/27/2017,9.1,Grand Pigalle Hotel, United Kingdom ,13,399,95,8,10.0,"[' Leisure trip ', ' Group ', ' Premium Room Grand Pigalle ', ' Stayed 1 night ']",7 days,48.880856,2.3375085,France
291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom,8/2/2017,8.2,Innkeeper s Lodge London Greenwich, United Kingdom ,58,1191,47,1,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",1 days,51.4801631,-0.0097201,United Kingdom
2e Hugo de Grootstraat 2 6 Westerpark 1052 LC Amsterdam Netherlands,8/3/2017,8.8,Morgan Mees, Hong Kong ,27,507,8,16,9.2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,52.3743712,4.8746196,Netherlands
3 5 rue du Mont Thabor 1st arr 75001 Paris France,8/2/2017,8.2,Hotel Duminy Vendome, United States of America ,34,769,11,1,5.8,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,48.8654726,2.3292934,France
3 avenue Mac Mahon 17th arr 75017 Paris France,8/2/2017,8.4,Maison Albar H tel Paris Champs Elys es ex Mac Mahon , South Africa ,12,774,47,1,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",1 days,48.8753837,2.2944651,France
3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,7/27/2017,8.0,Holiday Inn London Mayfair, United Kingdom ,24,1894,26,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Room Selected at Check In ', ' Stayed 1 night ', ' Submitted from a mobile device ']",7 days,51.507746,-0.1422993,United Kingdom
3 Bis Place Saint Sulpice 6th arr 75006 Paris France,8/1/2017,9.0,H tel Recamier, United States of America ,56,164,20,14,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double or Twin Room ', ' Stayed 1 night ']",2 days,48.8503493,2.3344305,France
3 Boulevard Montmartre 2nd arr 75002 Paris France,5/29/2017,7.8,TRYP Paris Op ra, France ,31,414,19,6,8.3,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 3 nights ']",66 days,48.8713619,2.3426375,France
3 Boulevard Saint Michel 5th arr 75005 Paris France,7/31/2017,8.0,Royal Saint Michel, United Kingdom ,26,1193,24,2,8.8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ']",3 days,48.8528364,2.3440803,France
3 Devonshire Terrace Westminster Borough London W2 3DN United Kingdom,7/31/2017,7.9,Paddington Court Executive Rooms, United States of America ,37,681,0,1,8.3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3 days,51.5138357,-0.1797976,United Kingdom
3 Kingdom Street Sheldon Square Westminster Borough London W2 6BD United Kingdom,8/3/2017,8.5,Novotel London Paddington, United Kingdom ,2,1187,26,1,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room with Queen size bed and Sofa Bed ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.519032,-0.1825943,United Kingdom
3 Place du G n ral Koenig 17th arr 75017 Paris France,7/31/2017,7.1,Hyatt Regency Paris Etoile, Australia ,82,3973,17,4,3.3,"[' Leisure trip ', ' Couple ', ' Deluxe Eiffel Tower King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",3 days,48.8802782,2.2843852,France
3 Rue Abb De L Ep e 5th arr 75005 Paris France,8/2/2017,8.7,Relais Saint Jacques, Australia ,0,519,45,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Classic Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,48.8430523,2.3422519,France
3 Rue Cambon 1st arr 75001 Paris France,8/2/2017,8.3,Hotel Cambon, United Kingdom ,12,323,35,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Classic Double Room ', ' Stayed 5 nights ']",1 days,48.866435,2.3251076,France
3 Rue Caulaincourt 18th arr 75018 Paris France,8/1/2017,8.4,Mercure Paris Montmartre Sacr Coeur, United Kingdom ,11,1652,37,4,8.3,"[' Leisure trip ', ' Couple ', ' Superior Room with 1 kingsize bed ', ' Stayed 3 nights ']",2 days,48.8852794,2.3301021,France
3 Rue Christine 6th arr 75006 Paris France,7/28/2017,9.1,Relais Christine, Italy ,47,287,9,3,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",6 days,48.8542454,2.339956,France
3 rue Clauzel 9th arr 75009 Paris France,7/20/2017,8.6,Les Matins de Paris Spa, Germany ,42,413,12,1,6.7,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ']",14 days,48.878932,2.3394182,France
3 Rue De Boulainvilliers 16th arr 75016 Paris France,7/7/2017,8.5,Hotel Square, Australia ,65,148,0,1,7.1,"[' Leisure trip ', ' Group ', ' Classique Square ', ' Stayed 1 night ', ' Submitted from a mobile device ']",27 days,48.851589,2.2777274,France
3 rue de Bourgogne 7th arr 75007 Paris France,7/15/2017,8.9,H tel Bourgogne Montana by MH, Australia ,0,545,49,6,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room La Parisienne ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",19 days,48.8601927,2.318423,France
3 rue de Castiglione 1st arr 75001 Paris France,7/8/2017,8.1,The Westin Paris Vend me, United States of America ,82,380,3,8,5.4,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 3 nights ']",26 days,48.8657394,2.3274415,France
3 Rue de Montalembert 7th arr 75007 Paris France,7/3/2017,8.5,Hotel Montalembert, United Kingdom ,3,126,32,2,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ']",31 days,48.8567042,2.3277805,France
3 rue de Ponthieu 8th arr 75008 Paris France,7/28/2017,8.7,H tel Mathis Elys es, United States of America ,15,652,29,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Junior Suite ', ' Stayed 2 nights ']",6 days,48.8700325,2.3112736,France
3 rue du Pr aux Clercs 7th arr 75007 Paris France,6/22/2017,8.8,Le Saint Hotel Paris, Greece ,108,163,22,1,7.1,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']",42 days,48.8565421,2.3303504,France
3 rue Lepic 18th arr 75018 Paris France,8/2/2017,8.3,Hotel Le Squara, United Kingdom ,41,776,9,6,7.1,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1 days,48.884165,2.3328261,France
3 Rue Pergolese 16th arr 75116 Paris France,7/19/2017,8.2,L Hotel Pergol se Paris, United States of America ,0,1281,68,1,9.2,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",15 days,48.8756618,2.2863468,France
3 Rue Rouget De Lisle 1st arr 75001 Paris France,7/4/2017,8.5,H tel Mayfair Paris, United States of America ,29,182,22,1,8.3,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",30 days,48.8661363,2.3260648,France
3 Rue Verniquet 17th arr 75017 Paris France,8/2/2017,8.0,Best Western Plus de Neuville Arc de Triomphe, Italy ,121,516,34,1,7.1,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 3 nights ']",1 days,48.8869128,2.3004034,France
3 South Place City of London London EC2M 2AF United Kingdom,8/3/2017,9.3,South Place Hotel, Swaziland ,5,769,24,24,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ']",0 days,51.5189182,-0.0866009,United Kingdom
3 Westbourne Terrace Lancaster Gate Westminster Borough London W2 3UL United Kingdom,7/16/2017,8.7,The Royal Park Hotel, United States of America ,0,331,73,3,9.6,"[' Leisure trip ', ' Group ', ' Executive Twin Room ', ' Stayed 4 nights ']",18 days,51.5142054,-0.1766098,United Kingdom
30 32 Boulevard Poissonni re 9th arr 75009 Paris France,8/1/2017,8.2,Holiday Inn Paris Op ra Grands Boulevards, United Kingdom ,30,581,44,4,8.3,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']",2 days,48.8715469,2.3439622,France
30 Barkston Gardens Kensington and Chelsea London SW5 0EN United Kingdom,7/29/2017,8.6,Henley House Hotel, United States of America ,0,1179,66,16,9.6,"[' Leisure trip ', ' Group ', ' Deluxe Twin Room ', ' Stayed 3 nights ']",5 days,51.4922348,-0.1914229,United Kingdom
30 Jamestown Road Camden London NW1 7BY United Kingdom,8/3/2017,8.6,Holiday Inn London Camden Lock, United States of America ,6,1572,26,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 3 nights ']",0 days,51.5404555,-0.1460833,United Kingdom
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,8/3/2017,8.5,DoubleTree by Hilton London Westminster, United Kingdom ,18,3269,11,1,9.6,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",0 days,51.4932356,-0.1269082,United Kingdom
30 Leinster Gardens Bayswater Westminster Borough London W2 3AN United Kingdom,8/3/2017,8.5,Blakemore Hyde Park, United Kingdom ,33,6596,22,12,7.5,"[' Leisure trip ', ' Couple ', ' Club Double Room ', ' Stayed 1 night ']",0 days,51.5129736,-0.1837431,United Kingdom
30 Portman Square Westminster Borough London W1H 7BH United Kingdom,7/19/2017,8.7,Hyatt Regency London The Churchill, United Arab Emirates ,12,883,16,8,9.2,"[' Leisure trip ', ' Family with young children ', ' King Room with View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",15 days,51.5156471,-0.1572443,United Kingdom
30 Rathbone Street West End Westminster Borough London W1T 1LB United Kingdom,8/3/2017,8.3,Rathbone, United Kingdom ,22,776,20,1,7.9,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",0 days,51.5186801,-0.1354055,United Kingdom
30 Rue de Bassano 16th arr 75016 Paris France,7/28/2017,8.3,Le Belmont Champs Elys es, Iceland ,7,328,29,14,8.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']",6 days,48.8691984,2.2979052,France
30 Rue Duret 16th arr 75016 Paris France,7/6/2017,8.4,Duret, United Kingdom ,6,167,29,1,10.0,"[' Leisure trip ', ' Group ', ' Superior Room with Double Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",28 days,48.8752553,2.286653,France
30 Rue Jean Mermoz 8th arr 75008 Paris France,7/23/2017,8.7,H tel Elysees Mermoz, Indonesia ,30,564,6,6,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 5 nights ']",11 days,48.8715079,2.3122259,France
30 Rue La P rouse 16th arr 75016 Paris France,7/17/2017,8.7,Majestic Hotel Spa, Saudi Arabia ,26,232,18,10,2.9,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",17 days,48.8703672,2.2938868,France
30 rue Pernety 14th arr 75014 Paris France,8/2/2017,9.0,BoB Hotel by Elegancia, Sweden ,0,271,61,2,10.0,"[' Leisure trip ', ' Family with young children ', ' Two Double Adjoining Rooms ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1 days,48.8335233,2.3191194,France
31 33 Argyle Street Camden London WC1H 8EP United Kingdom,8/2/2017,8.1,Comfort Inn Suites Kings Cross St Pancras, United Kingdom ,10,1116,81,1,8.8,"[' Leisure trip ', ' Couple ', ' Double Suite ', ' Stayed 1 night ']",1 days,51.5289499,-0.1232979,United Kingdom
